127.0.0.1 - - [28/Mar/2024:08:57:11 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:13 +0900] "GET /bookSeat/book.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:13 +0900] "GET /bookSeat/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:13 +0900] "GET /bookSeat/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:19 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:19 +0900] "GET /bookSeat/Rcheck.js HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [28/Mar/2024:08:57:25 +0900] "GET /bookSeat/raction.jsp?empno=2308 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Mar/2024:09:16:56 +0900] "GET /bookSeat/book.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:09:18:35 +0900] "GET /bookSeat/action.jsp?resvno=20242108&empno=2108&resvdate=20240328&seatno=S129 HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:09:18:54 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [28/Mar/2024:09:57:48 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:00:40 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:03:27 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:03:30 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:04:18 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:04:57 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:04:57 +0900] "GET /bookSeat/raction.jsp?empno=1001 HTTP/1.1" 200 1568
